"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11075","Successful login with valid credentials","","Thu Jan 22 15:42:38 IST 2026","passed","Thu Jan 22 15:42:49 IST 2026","","","",""
"","4","Copy Leads to different Campaign","","Thu Jan 22 15:48:00 IST 2026","passed","Thu Jan 22 15:48:00 IST 2026","","","",""
"","15658","Edit Pipeline","","Thu Jan 22 15:42:59 IST 2026","passed","Thu Jan 22 15:43:14 IST 2026","","","",""
"","9209","Creating a new Pipeline for Campaing Creation","","Thu Jan 22 15:43:44 IST 2026","passed","Thu Jan 22 15:43:53 IST 2026","","","",""
"","9919","Creating a new Pipeline","","Thu Jan 22 15:42:49 IST 2026","passed","Thu Jan 22 15:42:59 IST 2026","","","",""
"","14987","Delete Pipeline","","Thu Jan 22 15:43:29 IST 2026","passed","Thu Jan 22 15:43:44 IST 2026","","","",""
"","15713","Add Leads to the Campaign","","Thu Jan 22 15:44:01 IST 2026","passed","Thu Jan 22 15:44:16 IST 2026","","","",""
"","126763","Validate uploaded Excel data appears correctly inside the campaign","","Thu Jan 22 15:44:16 IST 2026","passed","Thu Jan 22 15:46:23 IST 2026","","","",""
"","18754","Change lead status to In Progress using bulk update","","Thu Jan 22 15:46:23 IST 2026","passed","Thu Jan 22 15:46:42 IST 2026","","","",""
"","7471","Create New Campaign","","Thu Jan 22 15:43:53 IST 2026","passed","Thu Jan 22 15:44:01 IST 2026","","","",""
"","77713","Follow up leads are coming in the Dialer portal under follow up leads","","Thu Jan 22 15:46:42 IST 2026","passed","Thu Jan 22 15:48:00 IST 2026","","","",""
"","14801","With Existing Pipeline Name , The New Pipeline Should not create","","Thu Jan 22 15:43:14 IST 2026","passed","Thu Jan 22 15:43:29 IST 2026","","","",""
